t,m
0,0
0.0172,0.000471
0.0345,0.00371
0.0517,0.00829
0.069,0.0156
0.0862,0.0242
0.103,0.0361
0.121,0.0512
0.138,0.0698
0.155,0.0924
0.172,0.117
0.19,0.135
0.207,0.15
0.224,0.164
0.241,0.167
0.259,0.167
0.276,0.164
0.293,0.151
0.31,0.135
0.328,0.118
0.345,0.0923
0.362,0.0699
0.379,0.0515
0.397,0.0363
0.414,0.0244
0.431,0.0156
0.448,0.00837
0.466,0.00398
0.483,0.000704
0.5,0.000298
0.517,0.000909
0.534,0.0029
0.552,0.00642
0.569,0.0106
0.586,0.0157
0.603,0.0223
0.621,0.0286
0.638,0.0342
0.655,0.0404
0.672,0.0466
0.69,0.0825
0.707,0.219
0.724,0.401
0.741,0.517
0.759,0.517
0.776,0.401
0.793,0.219
0.81,0.0823
0.828,0.0468
0.845,0.0404
0.862,0.0342
0.879,0.0287
0.897,0.0219
0.914,0.0157
0.931,0.0108
0.948,0.00597
0.966,0.00264
0.983,0.000837
1.,0
