f,m
0.3771,6.7626
0.4220,6.82
0.4880,6.9214
0.5990,7.0972
0.6880,7.1884
0.8422,7.4384
0.0865,7.7524
0.1747,7.7482
0.6186,7.129
0.6630,7.2226
0.7963,7.357
0.8407,7.415
0.0179,7.6494
0.0617,7.7242
0.0851,7.7598
0.2404,7.3444
0.3281,6.7514
0.5497,7.0266
0.5943,7.0816
0.6620,7.166
0.7050,7.2394
0.8594,7.4664
0.0150,7.7168
0.0596,7.7442
0.1041,7.779
0.2148,7.5754
0.2586,7.1814
0.3258,6.7934
0.4816,6.9718
0.5263,7.0004
0.5704,7.0014
0.6148,7.0744
0.7032,7.241
0.7703,7.3348
0.8588,7.4402
0.1911,7.663
0.2000,7.6166
0.3554,6.7296
0.6216,7.1194
0.7551,7.3202
0.9763,7.6018
0.0648,7.7384
0.3752,6.7394
0.4420,6.8492
0.5542,7.0128
0.7082,7.2474
0.7741,7.3468
0.8198,7.3952
0.8858,7.4736
0.9741,7.6312
0.0412,7.7176
0.7038,7.2414
0.7039,7.2462
0.7041,7.273
0.7046,7.1942
