wavelength,flux
3800,0.604
3805,0.625
3810,0.658
3815,0.701
3819,0.731
3824,0.74
3829,0.642
3834,0.623
3839,0.561
3843,0.711
3848,0.714
3853,0.707
3858,0.816
3863,0.734
3867,0.683
3872,0.677
3877,0.571
3882,0.531
3887,0.445
3891,0.38
3896,0.541
3901,0.594
3906,0.656
3911,0.745
3916,0.756
3920,0.777
3925,0.795
3930,0.794
3935,0.819
3940,0.783
3944,0.782
3949,0.733
3954,0.618
3959,0.559
3964,0.462
3968,0.328
3973,0.248
3978,0.414
3983,0.504
3988,0.594
3992,0.653
3997,0.763
4002,0.785
4007,0.84
4012,0.837
4016,0.886
4021,0.926
4026,0.955
4031,0.888
4036,0.924
4040,0.94
4045,0.884
4050,0.893
4055,0.89
4060,0.815
4065,0.852
4069,0.796
4074,0.702
4079,0.62
4084,0.569
4089,0.542
4093,0.444
4098,0.309
4103,0.136
4108,0.246
4113,0.396
4117,0.509
4122,0.584
4127,0.622
4132,0.707
4137,0.739
4141,0.77
4146,0.826
4151,0.827
4156,0.872
4161,0.842
4165,0.913
4170,0.917
4175,0.95
4180,0.918
4185,0.954
4189,0.952
4194,0.945
4199,0.955
4204,1.0
4209,0.921
4214,0.986
4218,0.971
4223,0.957
4228,0.925
4233,0.954
4238,0.948
4242,0.94
4247,0.97
4252,0.895
4257,0.916
4262,0.886
4266,0.865
4271,0.892
4276,0.853
4281,0.86
4286,0.779
4290,0.811
4295,0.764
4300,0.719
4305,0.693
4310,0.66
4314,0.596
4319,0.54
4324,0.469
4329,0.441
4334,0.289
4338,0.147
4343,0.077
4348,0.254
4353,0.353
4358,0.422
4363,0.49
4367,0.535
4372,0.648
4377,0.644
4382,0.684
4387,0.694
4391,0.727
4396,0.745
4401,0.761
4406,0.751
4411,0.763
4415,0.789
4420,0.777
4425,0.796
4430,0.8
4435,0.805
4439,0.825
4444,0.806
4449,0.818
4454,0.835
4459,0.857
4463,0.843
4468,0.833
4473,0.818
4478,0.839
4483,0.815
4488,0.813
4492,0.805
4497,0.839
4502,0.829
4507,0.809
4512,0.827
4516,0.854
4521,0.844
4526,0.801
4531,0.813
4536,0.855
4540,0.833
4545,0.814
4550,0.797
4555,0.8
4560,0.817
4564,0.79
4569,0.781
4574,0.768
4579,0.781
4584,0.774
4588,0.809
4593,0.778
4598,0.741
4603,0.732
4608,0.734
4612,0.791
4617,0.751
4622,0.769
4627,0.756
4632,0.741
4637,0.737
4641,0.749
4646,0.722
4651,0.724
4656,0.736
4661,0.723
4665,0.757
4670,0.728
4675,0.721
4680,0.703
4685,0.731
4689,0.737
4694,0.736
4699,0.721
4704,0.726
4709,0.715
4713,0.709
4718,0.703
4723,0.683
4728,0.673
4733,0.682
4737,0.689
4742,0.652
4747,0.676
4752,0.662
4757,0.648
4761,0.622
4766,0.617
4771,0.595
4776,0.618
4781,0.589
4786,0.574
4790,0.547
4795,0.534
4800,0.553
4805,0.528
4810,0.489
4814,0.472
4819,0.453
4824,0.481
4829,0.412
4834,0.383
4838,0.344
4843,0.322
4848,0.269
4853,0.207
4858,0.132
4862,0.0
4867,0.05
4872,0.171
4877,0.234
4882,0.301
4886,0.324
4891,0.351
4896,0.379
4901,0.385
4906,0.431
4910,0.452
4915,0.454
4920,0.451
4925,0.492
4930,0.474
4935,0.518
4939,0.5
4944,0.486
4949,0.492
4954,0.536
4959,0.514
4963,0.525
4968,0.544
4973,0.526
4978,0.542
4983,0.56
4987,0.544
4992,0.521
4997,0.531
5002,0.539
5007,0.527
5011,0.522
5016,0.543
5021,0.568
5026,0.537
5031,0.515
5035,0.525
5040,0.524
5045,0.519
5050,0.51
5055,0.537
5059,0.56
5064,0.532
5069,0.525
5074,0.531
5079,0.562
5084,0.537
5088,0.508
5093,0.54
5098,0.529
5103,0.496
5108,0.506
5112,0.529
5117,0.52
5122,0.515
5127,0.506
5132,0.489
5136,0.506
5141,0.506
5146,0.514
5151,0.503
5156,0.474
5160,0.485
5165,0.479
5170,0.493
5175,0.506
5180,0.476
5184,0.451
5189,0.478
5194,0.478
5199,0.472
5204,0.451
5209,0.457
5213,0.475
5218,0.474
5223,0.483
5228,0.47
5233,0.449
5237,0.454
5242,0.445
5247,0.443
5252,0.452
5257,0.468
5261,0.431
5266,0.445
5271,0.45
5276,0.463
5281,0.443
5285,0.439
5290,0.434
5295,0.424
5300,0.445
5305,0.454
5309,0.44
5314,0.423
5319,0.443
5324,0.419
5329,0.432
5333,0.425
5338,0.435
5343,0.41
5348,0.429
5353,0.43
5358,0.419
5362,0.43
5367,0.399
5372,0.401
5377,0.396
5382,0.413
5386,0.411
5391,0.404
5396,0.389
5401,0.399
5406,0.394
5410,0.409
5415,0.382
5420,0.368
5425,0.397
5430,0.38
5434,0.408
5439,0.394
5444,0.391
5449,0.384
5454,0.389
5458,0.388
5463,0.384
5468,0.39
5473,0.382
5478,0.352
5482,0.378
5487,0.359
5492,0.36
5497,0.352
5502,0.366
5507,0.353
5511,0.361
5516,0.352
5521,0.345
5526,0.34
5531,0.353
5535,0.351
5540,0.341
5545,0.323
5550,0.333
5555,0.338
5559,0.348
5564,0.33
5569,0.329
5574,0.321
5579,0.282
5583,0.327
5588,0.333
5593,0.331
5598,0.324
5603,0.323
5607,0.314
5612,0.329
5617,0.327
5622,0.326
5627,0.316
5631,0.324
5636,0.314
5641,0.299
5646,0.306
5651,0.309
5656,0.312
5660,0.3
5665,0.314
5670,0.297
5675,0.31
5680,0.282
5684,0.29
5689,0.303
5694,0.305
5699,0.284
5704,0.293
5708,0.276
5713,0.289
5718,0.293
5723,0.286
5728,0.285
5732,0.284
5737,0.272
5742,0.287
5747,0.294
5752,0.292
5756,0.283
5761,0.288
5766,0.256
5771,0.273
5776,0.244
5781,0.254
5785,0.288
5790,0.276
5795,0.282
5800,0.267
5805,0.276
5809,0.268
5814,0.272
5819,0.271
5824,0.268
5829,0.274
5833,0.247
5838,0.273
5843,0.259
5848,0.265
5853,0.257
5857,0.25
5862,0.249
5867,0.238
5872,0.237
5877,0.237
5881,0.25
5886,0.215
5891,0.215
5896,0.234
5901,0.229
5905,0.237
5910,0.234
5915,0.23
5920,0.222
5925,0.212
5930,0.231
5934,0.207
5939,0.216
5944,0.207
5949,0.207
5954,0.208
5958,0.209
5963,0.204
5968,0.213
5973,0.205
5978,0.193
5982,0.206
5987,0.178
5992,0.215
5997,0.196
6002,0.202
6006,0.193
6011,0.188
6016,0.184
6021,0.19
6026,0.221
6030,0.196
6035,0.187
6040,0.19
6045,0.203
6050,0.204
6054,0.203
6059,0.191
6064,0.187
6069,0.185
6074,0.164
6079,0.195
6083,0.167
6088,0.198
6093,0.18
6098,0.181
6103,0.171
6107,0.167
6112,0.173
6117,0.181
6122,0.173
6127,0.154
6131,0.155
6136,0.148
6141,0.17
6146,0.164
6151,0.164
6155,0.158
6160,0.141
6165,0.152
6170,0.154
6175,0.158
6179,0.14
6184,0.155
6189,0.148
6194,0.159
6199,0.141
