x,y
-1.732,1.000
-1.685,0.973
-1.639,0.948
-1.593,0.924
-1.548,0.901
-1.504,0.880
-1.461,0.859
-1.419,0.840
-1.377,0.821
-1.336,0.804
-1.295,0.787
-1.256,0.771
-1.216,0.757
-1.178,0.742
-1.140,0.729
-1.102,0.716
-1.065,0.704
-1.029,0.692
-0.992,0.681
-0.957,0.671
-0.922,0.661
-0.887,0.651
-0.852,0.642
-0.818,0.634
-0.785,0.626
-0.751,0.618
-0.718,0.611
-0.686,0.604
-0.653,0.598
-0.621,0.592
-0.589,0.586
-0.557,0.581
-0.526,0.576
-0.495,0.571
-0.464,0.567
-0.433,0.563
-0.402,0.559
-0.372,0.556
-0.342,0.553
-0.312,0.550
-0.281,0.547
-0.252,0.545
-0.222,0.543
-0.192,0.541
-0.162,0.540
-0.133,0.538
-0.103,0.537
-0.074,0.537
-0.044,0.536
-0.015,0.536
0.015,0.536
0.044,0.536
0.074,0.537
0.103,0.537
0.133,0.538
0.162,0.540
0.192,0.541
0.222,0.543
0.252,0.545
0.281,0.547
0.312,0.550
0.342,0.553
0.372,0.556
0.402,0.559
0.433,0.563
0.464,0.567
0.495,0.571
0.526,0.576
0.557,0.581
0.589,0.586
0.621,0.592
0.653,0.598
0.686,0.604
0.718,0.611
0.751,0.618
0.785,0.626
0.818,0.634
0.852,0.642
0.887,0.651
0.922,0.661
0.957,0.671
0.992,0.681
1.029,0.692
1.065,0.704
1.102,0.716
1.140,0.729
1.178,0.742
1.216,0.757
1.256,0.771
1.295,0.787
1.336,0.804
1.377,0.821
1.419,0.840
1.461,0.859
1.504,0.880
1.548,0.901
1.593,0.924
1.639,0.948
1.685,0.973
1.732,1.000
